0,1
Date,Gold Price per Gram
Current Price,31588.4 LKR
25-Oct-2023,20773.6  LKR
24-Oct-2023,20741.6  LKR
23-Oct-2023,20637.3  LKR
22-Oct-2023,20684.6  LKR
21-Oct-2023,20684.6  LKR
20-Oct-2023,20608.8  LKR
19-Oct-2023,20586.9  LKR
18-Oct-2023,20286.1  LKR
17-Oct-2023,20000.8  LKR
16-Oct-2023,19984.3  LKR
15-Oct-2023,20113.8  LKR
14-Oct-2023,20113.8  LKR
13-Oct-2023,20066.2  LKR
12-Oct-2023,19423.6  LKR
11-Oct-2023,19524.2  LKR
10-Oct-2023,19359.4  LKR
09-Oct-2023,19350.9  LKR
08-Oct-2023,18987.2  LKR
07-Oct-2023,18987.2  LKR
06-Oct-2023,19041.9  LKR
05-Oct-2023,18920.8  LKR
04-Oct-2023,18965.7  LKR
03-Oct-2023,18982.2  LKR
02-Oct-2023,19065  LKR
01-Oct-2023,19283.7  LKR
30-Sep-2023,19283.7  LKR
29-Sep-2023,19256.1  LKR
28-Sep-2023,19437.4  LKR
27-Sep-2023,19528.9  LKR
26-Sep-2023,19773.2  LKR
25-Sep-2023,20024  LKR
24-Sep-2023,19968.9  LKR
23-Sep-2023,19968.9  LKR
22-Sep-2023,20037.7  LKR
21-Sep-2023,20090.7  LKR
20-Sep-2023,20114  LKR
19-Sep-2023,20084.9  LKR
18-Sep-2023,20082.7  LKR
17-Sep-2023,19923.4  LKR
16-Sep-2023,19923.4  LKR
15-Sep-2023,19947.7  LKR
14-Sep-2023,19826.8  LKR
13-Sep-2023,19825.1  LKR
12-Sep-2023,19855.4  LKR
11-Sep-2023,19904.3  LKR
10-Sep-2023,19857.2  LKR
09-Sep-2023,19877.7  LKR
08-Sep-2023,19877.4  LKR
07-Sep-2023,19893.5  LKR
06-Sep-2023,19861.9  LKR
05-Sep-2023,19994.2  LKR
04-Sep-2023,19925.9  LKR
03-Sep-2023,19926.8  LKR
02-Sep-2023,19926.8  LKR
01-Sep-2023,19936.4  LKR
31-Aug-2023,19993.9  LKR
30-Aug-2023,20073.1  LKR
29-Aug-2023,20111.1  LKR
28-Aug-2023,19953.7  LKR
27-Aug-2023,19934.6  LKR
26-Aug-2023,19921.2  LKR
25-Aug-2023,19903.5  LKR
24-Aug-2023,19969.8  LKR
23-Aug-2023,19933  LKR
22-Aug-2023,19752.2  LKR
21-Aug-2023,19610  LKR
20-Aug-2023,19538.3  LKR
19-Aug-2023,19538.3  LKR
18-Aug-2023,19585.1  LKR
17-Aug-2023,19585.5  LKR
16-Aug-2023,19507.6  LKR
15-Aug-2023,19645.5  LKR
14-Aug-2023,19757.4  LKR
13-Aug-2023,19773.1  LKR
12-Aug-2023,19773.1  LKR
11-Aug-2023,19722.5  LKR
10-Aug-2023,19639.2  LKR
09-Aug-2023,19617.7  LKR
08-Aug-2023,19830.2  LKR
07-Aug-2023,20126.5  LKR
06-Aug-2023,19873.6  LKR
05-Aug-2023,19873.6  LKR
04-Aug-2023,20014.1  LKR
03-Aug-2023,19863.7  LKR
02-Aug-2023,19596.4  LKR
01-Aug-2023,19919.2  LKR
31-Jul-2023,20208.2  LKR
30-Jul-2023,20675.6  LKR
29-Jul-2023,20675.6  LKR
28-Jul-2023,20723.4  LKR
27-Jul-2023,20631.5  LKR
26-Jul-2023,20953.8  LKR
25-Jul-2023,20951.4  LKR
24-Jul-2023,20595.1  LKR
23-Jul-2023,20659.1  LKR
22-Jul-2023,20659.1  LKR
21-Jul-2023,20679.4  LKR
20-Jul-2023,20630.5  LKR
19-Jul-2023,20676.7  LKR
18-Jul-2023,20542.9  LKR
17-Jul-2023,20233  LKR
16-Jul-2023,20068.1  LKR
15-Jul-2023,20068.1  LKR
14-Jul-2023,19922.1  LKR
13-Jul-2023,19679.2  LKR
12-Jul-2023,19680.1  LKR
11-Jul-2023,19452.9  LKR
10-Jul-2023,19350.5  LKR
09-Jul-2023,19209.6  LKR
08-Jul-2023,19209.6  LKR
07-Jul-2023,19220.6  LKR
06-Jul-2023,18941.2  LKR
05-Jul-2023,18942.9  LKR
04-Jul-2023,18929.5  LKR
03-Jul-2023,18976.3  LKR
02-Jul-2023,18860.1  LKR
01-Jul-2023,18983.2  LKR
30-Jun-2023,18977.3  LKR
29-Jun-2023,18810.8  LKR
28-Jun-2023,18832.3  LKR
27-Jun-2023,18984.1  LKR
26-Jun-2023,18952.7  LKR
25-Jun-2023,18873.7  LKR
24-Jun-2023,18861.7  LKR
23-Jun-2023,18983  LKR
22-Jun-2023,18879  LKR
21-Jun-2023,19114.1  LKR
20-Jun-2023,19146.1  LKR
19-Jun-2023,19421.7  LKR
18-Jun-2023,19445.7  LKR
17-Jun-2023,19465.3  LKR
16-Jun-2023,19449.8  LKR
15-Jun-2023,19316  LKR
14-Jun-2023,19226.3  LKR
13-Jun-2023,18801.1  LKR
12-Jun-2023,18925.3  LKR
11-Jun-2023,18688.8  LKR
10-Jun-2023,18683.1  LKR
09-Jun-2023,18507.9  LKR
08-Jun-2023,18434.7  LKR
07-Jun-2023,18187  LKR
06-Jun-2023,18450.1  LKR
05-Jun-2023,18291.9  LKR
04-Jun-2023,18219.6  LKR
03-Jun-2023,18219.6  LKR
02-Jun-2023,18159  LKR
01-Jun-2023,18726.5  LKR
31-May-2023,18525.1  LKR
30-May-2023,18684.4  LKR
29-May-2023,18579.6  LKR
28-May-2023,18614.7  LKR
27-May-2023,18892.4  LKR
26-May-2023,18897.2  LKR
25-May-2023,18936.5  LKR
24-May-2023,19186.4  LKR
23-May-2023,19418.4  LKR
22-May-2023,19380.7  LKR
21-May-2023,19439.3  LKR
20-May-2023,19433.3  LKR
19-May-2023,19479.9  LKR
18-May-2023,19324.1  LKR
17-May-2023,19757  LKR
16-May-2023,20011.7  LKR
15-May-2023,20259.9  LKR
14-May-2023,20173  LKR
13-May-2023,20258.3  LKR
12-May-2023,20253.2  LKR
11-May-2023,20396.6  LKR
10-May-2023,20648.1  LKR
09-May-2023,20770.4  LKR
08-May-2023,20692.9  LKR
07-May-2023,20717.3  LKR
06-May-2023,20718.1  LKR
05-May-2023,20731.8  LKR
04-May-2023,21022.6  LKR
03-May-2023,20879.2  LKR
02-May-2023,20505.6  LKR
01-May-2023,20331  LKR
30-Apr-2023,20199.7  LKR
29-Apr-2023,20463.6  LKR
28-Apr-2023,20451  LKR
27-Apr-2023,20553.3  LKR
26-Apr-2023,20558.5  LKR
25-Apr-2023,20625.6  LKR
24-Apr-2023,20583.3  LKR
23-Apr-2023,20549.3  LKR
22-Apr-2023,20549.2  LKR
21-Apr-2023,20545.2  LKR
20-Apr-2023,20715.5  LKR
19-Apr-2023,20557.4  LKR
18-Apr-2023,20729.4  LKR
17-Apr-2023,20846.2  LKR
16-Apr-2023,20699  LKR
15-Apr-2023,20698.4  LKR
14-Apr-2023,20810.9  LKR
13-Apr-2023,21158.1  LKR
12-Apr-2023,20824.2  LKR
11-Apr-2023,20569  LKR
10-Apr-2023,20463.8  LKR
09-Apr-2023,20465.8  LKR
08-Apr-2023,20465.8  LKR
07-Apr-2023,20612  LKR
06-Apr-2023,20611.3  LKR
05-Apr-2023,20931.2  LKR
04-Apr-2023,20859.7  LKR
03-Apr-2023,20599.7  LKR
02-Apr-2023,20866.8  LKR
01-Apr-2023,20866.2  LKR
31-Mar-2023,20872.8  LKR
30-Mar-2023,20660.6  LKR
29-Mar-2023,20474.4  LKR
28-Mar-2023,20562.7  LKR
27-Mar-2023,20412.7  LKR
26-Mar-2023,20537.7  LKR
25-Mar-2023,20535.4  LKR
24-Mar-2023,20511.8  LKR
